school_year,Student,SIS User ID,grade_level,course_id,section_id,teacher_id,enrollment_status
2025-2026,Synthetic Student 130,SYN-SIS-000130,11,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 131,SYN-SIS-000131,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 132,SYN-SIS-000132,10,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 133,SYN-SIS-000133,11,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 134,SYN-SIS-000134,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 135,SYN-SIS-000135,11,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 136,SYN-SIS-000136,11,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 137,SYN-SIS-000137,12,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 138,SYN-SIS-000138,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 139,SYN-SIS-000139,11,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 140,SYN-SIS-000140,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 141,SYN-SIS-000141,12,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 142,SYN-SIS-000142,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 143,SYN-SIS-000143,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 144,SYN-SIS-000144,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 145,SYN-SIS-000145,10,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 146,SYN-SIS-000146,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 147,SYN-SIS-000147,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 148,SYN-SIS-000148,10,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 149,SYN-SIS-000149,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 150,SYN-SIS-000150,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 151,SYN-SIS-000151,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 152,SYN-SIS-000152,10,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 153,SYN-SIS-000153,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 154,SYN-SIS-000154,11,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 155,SYN-SIS-000155,10,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 156,SYN-SIS-000156,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 157,SYN-SIS-000157,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 158,SYN-SIS-000158,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 159,SYN-SIS-000159,10,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 160,SYN-SIS-000160,9,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 161,SYN-SIS-000161,11,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 162,SYN-SIS-000162,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 163,SYN-SIS-000163,12,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 164,SYN-SIS-000164,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 165,SYN-SIS-000165,10,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 166,SYN-SIS-000166,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 167,SYN-SIS-000167,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 168,SYN-SIS-000168,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 169,SYN-SIS-000169,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 170,SYN-SIS-000170,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 171,SYN-SIS-000171,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 172,SYN-SIS-000172,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 173,SYN-SIS-000173,9,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 174,SYN-SIS-000174,10,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 175,SYN-SIS-000175,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 176,SYN-SIS-000176,10,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 177,SYN-SIS-000177,9,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 178,SYN-SIS-000178,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 179,SYN-SIS-000179,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 180,SYN-SIS-000180,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 181,SYN-SIS-000181,10,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 182,SYN-SIS-000182,12,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 183,SYN-SIS-000183,10,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 184,SYN-SIS-000184,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 185,SYN-SIS-000185,11,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 186,SYN-SIS-000186,11,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 187,SYN-SIS-000187,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 188,SYN-SIS-000188,10,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 189,SYN-SIS-000189,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 190,SYN-SIS-000190,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 191,SYN-SIS-000191,11,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 192,SYN-SIS-000192,11,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 193,SYN-SIS-000193,9,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 194,SYN-SIS-000194,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 195,SYN-SIS-000195,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 196,SYN-SIS-000196,9,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 197,SYN-SIS-000197,10,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 198,SYN-SIS-000198,10,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 199,SYN-SIS-000199,12,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 200,SYN-SIS-000200,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 201,SYN-SIS-000201,10,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 202,SYN-SIS-000202,10,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 203,SYN-SIS-000203,11,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 204,SYN-SIS-000204,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 205,SYN-SIS-000205,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 206,SYN-SIS-000206,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 207,SYN-SIS-000207,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 208,SYN-SIS-000208,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 209,SYN-SIS-000209,11,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 210,SYN-SIS-000210,11,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 211,SYN-SIS-000211,11,MATH-AP-PRECALC,SEC-019,TCH-004,active
2025-2026,Synthetic Student 212,SYN-SIS-000212,10,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 213,SYN-SIS-000213,11,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 214,SYN-SIS-000214,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 215,SYN-SIS-000215,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 216,SYN-SIS-000216,9,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 217,SYN-SIS-000217,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 218,SYN-SIS-000218,11,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 219,SYN-SIS-000219,9,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 220,SYN-SIS-000220,11,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 221,SYN-SIS-000221,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 222,SYN-SIS-000222,9,MATH-GEOM,SEC-007,TCH-002,active
2025-2026,Synthetic Student 223,SYN-SIS-000223,11,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 224,SYN-SIS-000224,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 225,SYN-SIS-000225,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 226,SYN-SIS-000226,11,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 227,SYN-SIS-000227,11,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 228,SYN-SIS-000228,11,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 229,SYN-SIS-000229,11,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 230,SYN-SIS-000230,10,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 231,SYN-SIS-000231,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 232,SYN-SIS-000232,12,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 233,SYN-SIS-000233,12,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 234,SYN-SIS-000234,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 235,SYN-SIS-000235,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 236,SYN-SIS-000236,9,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 237,SYN-SIS-000237,10,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 238,SYN-SIS-000238,10,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 239,SYN-SIS-000239,12,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 240,SYN-SIS-000240,10,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 241,SYN-SIS-000241,10,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 242,SYN-SIS-000242,10,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 243,SYN-SIS-000243,12,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 244,SYN-SIS-000244,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 245,SYN-SIS-000245,11,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 246,SYN-SIS-000246,9,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 247,SYN-SIS-000247,11,MATH-AP-CALC-AB,SEC-022,TCH-005,active
2025-2026,Synthetic Student 248,SYN-SIS-000248,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 249,SYN-SIS-000249,10,MATH-ALG2,SEC-009,TCH-002,active
2025-2026,Synthetic Student 250,SYN-SIS-000250,12,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 251,SYN-SIS-000251,9,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 252,SYN-SIS-000252,12,MATH-AP-CALC-BC,SEC-024,TCH-005,active
2025-2026,Synthetic Student 253,SYN-SIS-000253,10,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 254,SYN-SIS-000254,10,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 255,SYN-SIS-000255,11,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 256,SYN-SIS-000256,12,MATH-AP-CALC-AB,SEC-020,TCH-004,active
2025-2026,Synthetic Student 257,SYN-SIS-000257,10,MATH-ALG2-H,SEC-012,TCH-003,active
