Student,ID,SIS User ID,SIS Login ID,Email,Section,Assignment 01,Assignment 02,Assignment 03,Assignment 04,Assignment 05,Assignment 06,Assignment 07,Assignment 08,Assignment 09,Assignment 10,Assignment 11,Assignment 12,Assignment 13,Assignment 14
Synthetic Student 044,SYN-EXP-000044,SYN-SIS-000044,synthetic044,dbrooks26@schoolname.org,Section D,36.28,45.38,,,,,,,,,,,,
Synthetic Student 045,SYN-EXP-000045,SYN-SIS-000045,synthetic045,echen29@schoolname.org,Section A,29.9,41.14,,,,,,,,,,,,
Synthetic Student 046,SYN-EXP-000046,SYN-SIS-000046,synthetic046,fdavis29@schoolname.org,Section B,46.85,48.99,,,,,,,,,,,,
Synthetic Student 047,SYN-EXP-000047,SYN-SIS-000047,synthetic047,gevans27@schoolname.org,Section C,45.1,44.66,,,,,,,,,,,,
Synthetic Student 048,SYN-EXP-000048,SYN-SIS-000048,synthetic048,hflores26@schoolname.org,Section D,58.38,70.31,,,,,,,,,,,,
Synthetic Student 049,SYN-EXP-000049,SYN-SIS-000049,synthetic049,igarcia26@schoolname.org,Section A,73.99,71.21,,,,,,,,,,,,
Synthetic Student 050,SYN-EXP-000050,SYN-SIS-000050,synthetic050,jhayes29@schoolname.org,Section B,36.23,49.07,,,,,,,,,,,,
Synthetic Student 051,SYN-EXP-000051,SYN-SIS-000051,synthetic051,kibrahim29@schoolname.org,Section C,34.23,48.55,,,,,,,,,,,,
Synthetic Student 052,SYN-EXP-000052,SYN-SIS-000052,synthetic052,ljohnson28@schoolname.org,Section D,0,72.51,,,,,,,,,,,,
Synthetic Student 053,SYN-EXP-000053,SYN-SIS-000053,synthetic053,mkim29@schoolname.org,Section A,64.26,64.08,,,,,,,,,,,,
Synthetic Student 054,SYN-EXP-000054,SYN-SIS-000054,synthetic054,nlewis29@schoolname.org,Section B,31.26,31.22,,,,,,,,,,,,
Synthetic Student 055,SYN-EXP-000055,SYN-SIS-000055,synthetic055,pmartinez29@schoolname.org,Section C,12.49,27.1,,,,,,,,,,,,
Synthetic Student 056,SYN-EXP-000056,SYN-SIS-000056,synthetic056,qnelson26@schoolname.org,Section D,42.55,48.67,,,,,,,,,,,,
Synthetic Student 057,SYN-EXP-000057,SYN-SIS-000057,synthetic057,rortiz29@schoolname.org,Section A,9.23,27.65,,,,,,,,,,,,
Synthetic Student 058,SYN-EXP-000058,SYN-SIS-000058,synthetic058,sprice29@schoolname.org,Section B,28.4,35.76,,,,,,,,,,,,
Synthetic Student 059,SYN-EXP-000059,SYN-SIS-000059,synthetic059,tstone28@schoolname.org,Section C,16.13,24.87,,,,,,,,,,,,
Synthetic Student 060,SYN-EXP-000060,SYN-SIS-000060,synthetic060,vmiller27@schoolname.org,Section D,14.02,26.81,,,,,,,,,,,,
Synthetic Student 061,SYN-EXP-000061,SYN-SIS-000061,synthetic061,anguyen28@schoolname.org,Section A,30.27,30.96,,,,,,,,,,,,
Synthetic Student 062,SYN-EXP-000062,SYN-SIS-000062,synthetic062,bpatel29@schoolname.org,Section B,32.75,38.08,,,,,,,,,,,,
Synthetic Student 063,SYN-EXP-000063,SYN-SIS-000063,synthetic063,cbrooks28@schoolname.org,Section C,29.15,42.92,,,,,,,,,,,,
Synthetic Student 064,SYN-EXP-000064,SYN-SIS-000064,synthetic064,dchen27@schoolname.org,Section D,71.3,70.66,,,,,,,,,,,,
Synthetic Student 065,SYN-EXP-000065,SYN-SIS-000065,synthetic065,edavis29@schoolname.org,Section A,13.44,26.77,,,,,,,,,,,,
Synthetic Student 066,SYN-EXP-000066,SYN-SIS-000066,synthetic066,fevans28@schoolname.org,Section B,43.33,46.96,,,,,,,,,,,,
Synthetic Student 067,SYN-EXP-000067,SYN-SIS-000067,synthetic067,gflores28@schoolname.org,Section C,31.13,0,,,,,,,,,,,,
Synthetic Student 068,SYN-EXP-000068,SYN-SIS-000068,synthetic068,hgarcia27@schoolname.org,Section D,31.96,43.12,,,,,,,,,,,,
Synthetic Student 069,SYN-EXP-000069,SYN-SIS-000069,synthetic069,ihayes28@schoolname.org,Section A,76.96,71.12,,,,,,,,,,,,
Synthetic Student 070,SYN-EXP-000070,SYN-SIS-000070,synthetic070,jibrahim29@schoolname.org,Section B,29.14,35.82,,,,,,,,,,,,
Synthetic Student 071,SYN-EXP-000071,SYN-SIS-000071,synthetic071,kjohnson27@schoolname.org,Section C,0,76.91,,,,,,,,,,,,
Synthetic Student 072,SYN-EXP-000072,SYN-SIS-000072,synthetic072,lkim27@schoolname.org,Section D,25.53,33.11,,,,,,,,,,,,
Synthetic Student 073,SYN-EXP-000073,SYN-SIS-000073,synthetic073,mlewis28@schoolname.org,Section A,59.42,67.54,,,,,,,,,,,,
Synthetic Student 074,SYN-EXP-000074,SYN-SIS-000074,synthetic074,nmartinez26@schoolname.org,Section B,34.85,47.6,,,,,,,,,,,,
Synthetic Student 075,SYN-EXP-000075,SYN-SIS-000075,synthetic075,pnelson27@schoolname.org,Section C,91.94,87.43,,,,,,,,,,,,
Synthetic Student 076,SYN-EXP-000076,SYN-SIS-000076,synthetic076,qortiz28@schoolname.org,Section D,38.76,49.73,,,,,,,,,,,,
Synthetic Student 077,SYN-EXP-000077,SYN-SIS-000077,synthetic077,rprice27@schoolname.org,Section A,15.89,29.31,,,,,,,,,,,,
Synthetic Student 078,SYN-EXP-000078,SYN-SIS-000078,synthetic078,sstone28@schoolname.org,Section B,70.73,72.52,,,,,,,,,,,,
Synthetic Student 079,SYN-EXP-000079,SYN-SIS-000079,synthetic079,tmiller28@schoolname.org,Section C,70.98,67.79,,,,,,,,,,,,
Synthetic Student 080,SYN-EXP-000080,SYN-SIS-000080,synthetic080,vrivera28@schoolname.org,Section D,0,69.77,,,,,,,,,,,,
Synthetic Student 081,SYN-EXP-000081,SYN-SIS-000081,synthetic081,apatel29@schoolname.org,Section A,32.12,40.52,,,,,,,,,,,,
Synthetic Student 082,SYN-EXP-000082,SYN-SIS-000082,synthetic082,bbrooks27@schoolname.org,Section B,72.74,76.16,,,,,,,,,,,,
Synthetic Student 083,SYN-EXP-000083,SYN-SIS-000083,synthetic083,cchen27@schoolname.org,Section C,64.29,64.24,,,,,,,,,,,,
Synthetic Student 084,SYN-EXP-000084,SYN-SIS-000084,synthetic084,ddavis29@schoolname.org,Section D,54.01,56.32,,,,,,,,,,,,
Synthetic Student 085,SYN-EXP-000085,SYN-SIS-000085,synthetic085,eevans29@schoolname.org,Section A,33.23,37.2,,,,,,,,,,,,
Synthetic Student 086,SYN-EXP-000086,SYN-SIS-000086,synthetic086,fflores29@schoolname.org,Section B,8.2,20.43,,,,,,,,,,,,
Synthetic Student 087,SYN-EXP-000087,SYN-SIS-000087,synthetic087,ggarcia28@schoolname.org,Section C,41.3,44.93,,,,,,,,,,,,
Synthetic Student 088,SYN-EXP-000088,SYN-SIS-000088,synthetic088,hhayes28@schoolname.org,Section D,66.37,58.11,,,,,,,,,,,,
Synthetic Student 089,SYN-EXP-000089,SYN-SIS-000089,synthetic089,iibrahim27@schoolname.org,Section A,0,0,,,,,,,,,,,,
Synthetic Student 090,SYN-EXP-000090,SYN-SIS-000090,synthetic090,jjohnson27@schoolname.org,Section B,0,52.41,,,,,,,,,,,,
Synthetic Student 091,SYN-EXP-000091,SYN-SIS-000091,synthetic091,kkim28@schoolname.org,Section C,75.51,74.28,,,,,,,,,,,,
Synthetic Student 092,SYN-EXP-000092,SYN-SIS-000092,synthetic092,llewis29@schoolname.org,Section D,0,81.36,,,,,,,,,,,,
Synthetic Student 093,SYN-EXP-000093,SYN-SIS-000093,synthetic093,mmartinez26@schoolname.org,Section A,43.2,47.75,,,,,,,,,,,,
Synthetic Student 094,SYN-EXP-000094,SYN-SIS-000094,synthetic094,nnelson28@schoolname.org,Section B,44.12,51.11,,,,,,,,,,,,
Synthetic Student 095,SYN-EXP-000095,SYN-SIS-000095,synthetic095,portiz26@schoolname.org,Section C,65.93,73.46,,,,,,,,,,,,
Synthetic Student 096,SYN-EXP-000096,SYN-SIS-000096,synthetic096,qprice26@schoolname.org,Section D,36.35,44.9,,,,,,,,,,,,
Synthetic Student 097,SYN-EXP-000097,SYN-SIS-000097,synthetic097,rstone28@schoolname.org,Section A,89.82,86.25,,,,,,,,,,,,
Synthetic Student 098,SYN-EXP-000098,SYN-SIS-000098,synthetic098,smiller28@schoolname.org,Section B,19.08,31.64,,,,,,,,,,,,
Synthetic Student 099,SYN-EXP-000099,SYN-SIS-000099,synthetic099,trivera26@schoolname.org,Section C,57.08,0,,,,,,,,,,,,
Synthetic Student 100,SYN-EXP-000100,SYN-SIS-000100,synthetic100,vnguyen29@schoolname.org,Section D,22.94,34.65,,,,,,,,,,,,
Synthetic Student 101,SYN-EXP-000101,SYN-SIS-000101,synthetic101,abrooks26@schoolname.org,Section A,23.14,36.99,,,,,,,,,,,,
Synthetic Student 102,SYN-EXP-000102,SYN-SIS-000102,synthetic102,bchen26@schoolname.org,Section B,16.53,27.43,,,,,,,,,,,,
Synthetic Student 103,SYN-EXP-000103,SYN-SIS-000103,synthetic103,cdavis26@schoolname.org,Section C,39.39,49.37,,,,,,,,,,,,
Synthetic Student 104,SYN-EXP-000104,SYN-SIS-000104,synthetic104,devans26@schoolname.org,Section D,70.51,0,,,,,,,,,,,,
Synthetic Student 105,SYN-EXP-000105,SYN-SIS-000105,synthetic105,eflores29@schoolname.org,Section A,12.79,31.24,,,,,,,,,,,,
Synthetic Student 106,SYN-EXP-000106,SYN-SIS-000106,synthetic106,fgarcia26@schoolname.org,Section B,49.85,55.7,,,,,,,,,,,,
Synthetic Student 107,SYN-EXP-000107,SYN-SIS-000107,synthetic107,ghayes27@schoolname.org,Section C,59.4,65.67,,,,,,,,,,,,
Synthetic Student 108,SYN-EXP-000108,SYN-SIS-000108,synthetic108,hibrahim27@schoolname.org,Section D,83.7,87.9,,,,,,,,,,,,
Synthetic Student 109,SYN-EXP-000109,SYN-SIS-000109,synthetic109,ijohnson28@schoolname.org,Section A,70.02,76.1,,,,,,,,,,,,
Synthetic Student 110,SYN-EXP-000110,SYN-SIS-000110,synthetic110,jkim28@schoolname.org,Section B,21.51,34.49,,,,,,,,,,,,
Synthetic Student 111,SYN-EXP-000111,SYN-SIS-000111,synthetic111,klewis29@schoolname.org,Section C,18.02,30.79,,,,,,,,,,,,
Synthetic Student 112,SYN-EXP-000112,SYN-SIS-000112,synthetic112,lmartinez29@schoolname.org,Section D,72.04,72.21,,,,,,,,,,,,
Synthetic Student 113,SYN-EXP-000113,SYN-SIS-000113,synthetic113,mnelson29@schoolname.org,Section A,65.1,70.7,,,,,,,,,,,,
Synthetic Student 114,SYN-EXP-000114,SYN-SIS-000114,synthetic114,nortiz29@schoolname.org,Section B,12.36,15.67,,,,,,,,,,,,
Synthetic Student 115,SYN-EXP-000115,SYN-SIS-000115,synthetic115,pprice28@schoolname.org,Section C,85.69,83.92,,,,,,,,,,,,
Synthetic Student 116,SYN-EXP-000116,SYN-SIS-000116,synthetic116,qstone29@schoolname.org,Section D,0,0,,,,,,,,,,,,
Synthetic Student 117,SYN-EXP-000117,SYN-SIS-000117,synthetic117,rmiller26@schoolname.org,Section A,37.49,42.96,,,,,,,,,,,,
Synthetic Student 118,SYN-EXP-000118,SYN-SIS-000118,synthetic118,srivera26@schoolname.org,Section B,84.66,87.19,,,,,,,,,,,,
Synthetic Student 119,SYN-EXP-000119,SYN-SIS-000119,synthetic119,tnguyen29@schoolname.org,Section C,43.97,47.7,,,,,,,,,,,,
Synthetic Student 120,SYN-EXP-000120,SYN-SIS-000120,synthetic120,vpatel28@schoolname.org,Section D,40.57,48.38,,,,,,,,,,,,
Synthetic Student 121,SYN-EXP-000121,SYN-SIS-000121,synthetic121,achen28@schoolname.org,Section A,28.8,37.11,,,,,,,,,,,,
Synthetic Student 122,SYN-EXP-000122,SYN-SIS-000122,synthetic122,bdavis28@schoolname.org,Section B,39.27,46.43,,,,,,,,,,,,
Synthetic Student 123,SYN-EXP-000123,SYN-SIS-000123,synthetic123,cevans28@schoolname.org,Section C,42.04,54.14,,,,,,,,,,,,
Synthetic Student 124,SYN-EXP-000124,SYN-SIS-000124,synthetic124,dflores26@schoolname.org,Section D,62.26,63.93,,,,,,,,,,,,
Synthetic Student 125,SYN-EXP-000125,SYN-SIS-000125,synthetic125,egarcia26@schoolname.org,Section A,37.37,48.07,,,,,,,,,,,,
Synthetic Student 126,SYN-EXP-000126,SYN-SIS-000126,synthetic126,fhayes29@schoolname.org,Section B,21.55,31.12,,,,,,,,,,,,
Synthetic Student 127,SYN-EXP-000127,SYN-SIS-000127,synthetic127,gibrahim29@schoolname.org,Section C,38.22,48.08,,,,,,,,,,,,
Synthetic Student 128,SYN-EXP-000128,SYN-SIS-000128,synthetic128,hjohnson28@schoolname.org,Section D,46.07,52.58,,,,,,,,,,,,
Synthetic Student 129,SYN-EXP-000129,SYN-SIS-000129,synthetic129,ikim26@schoolname.org,Section A,87.64,87.45,,,,,,,,,,,,
Synthetic Student 130,SYN-EXP-000130,SYN-SIS-000130,synthetic130,jlewis27@schoolname.org,Section B,71.65,74.22,,,,,,,,,,,,
Synthetic Student 131,SYN-EXP-000131,SYN-SIS-000131,synthetic131,kmartinez26@schoolname.org,Section C,44.14,51.19,,,,,,,,,,,,
Synthetic Student 132,SYN-EXP-000132,SYN-SIS-000132,synthetic132,lnelson28@schoolname.org,Section D,49.62,52.46,,,,,,,,,,,,
Synthetic Student 133,SYN-EXP-000133,SYN-SIS-000133,synthetic133,mortiz27@schoolname.org,Section A,0,0,,,,,,,,,,,,
Synthetic Student 134,SYN-EXP-000134,SYN-SIS-000134,synthetic134,nprice28@schoolname.org,Section B,50.59,57.76,,,,,,,,,,,,
Synthetic Student 135,SYN-EXP-000135,SYN-SIS-000135,synthetic135,pstone27@schoolname.org,Section C,31.72,41.3,,,,,,,,,,,,
Synthetic Student 136,SYN-EXP-000136,SYN-SIS-000136,synthetic136,qmiller27@schoolname.org,Section D,36.29,40.57,,,,,,,,,,,,
Synthetic Student 137,SYN-EXP-000137,SYN-SIS-000137,synthetic137,rrivera26@schoolname.org,Section A,25.06,30.32,,,,,,,,,,,,
Synthetic Student 138,SYN-EXP-000138,SYN-SIS-000138,synthetic138,snguyen26@schoolname.org,Section B,34.83,49.4,,,,,,,,,,,,
Synthetic Student 139,SYN-EXP-000139,SYN-SIS-000139,synthetic139,tpatel27@schoolname.org,Section C,0,67.56,,,,,,,,,,,,
Synthetic Student 140,SYN-EXP-000140,SYN-SIS-000140,synthetic140,vbrooks28@schoolname.org,Section D,32.99,48.46,,,,,,,,,,,,
Synthetic Student 141,SYN-EXP-000141,SYN-SIS-000141,synthetic141,adavis26@schoolname.org,Section A,51.97,58.6,,,,,,,,,,,,
Synthetic Student 142,SYN-EXP-000142,SYN-SIS-000142,synthetic142,bevans29@schoolname.org,Section B,54.67,61.54,,,,,,,,,,,,
Synthetic Student 143,SYN-EXP-000143,SYN-SIS-000143,synthetic143,cflores29@schoolname.org,Section C,39.74,49.36,,,,,,,,,,,,
Synthetic Student 144,SYN-EXP-000144,SYN-SIS-000144,synthetic144,dgarcia26@schoolname.org,Section D,42.88,49.63,,,,,,,,,,,,
Synthetic Student 145,SYN-EXP-000145,SYN-SIS-000145,synthetic145,ehayes28@schoolname.org,Section A,0,45.38,,,,,,,,,,,,
Synthetic Student 146,SYN-EXP-000146,SYN-SIS-000146,synthetic146,fibrahim29@schoolname.org,Section B,43.35,50.24,,,,,,,,,,,,
Synthetic Student 147,SYN-EXP-000147,SYN-SIS-000147,synthetic147,gjohnson27@schoolname.org,Section C,71.64,74.9,,,,,,,,,,,,
Synthetic Student 148,SYN-EXP-000148,SYN-SIS-000148,synthetic148,hkim28@schoolname.org,Section D,84.38,82.91,,,,,,,,,,,,
Synthetic Student 149,SYN-EXP-000149,SYN-SIS-000149,synthetic149,ilewis29@schoolname.org,Section A,40.78,45.51,,,,,,,,,,,,
Synthetic Student 150,SYN-EXP-000150,SYN-SIS-000150,synthetic150,jmartinez29@schoolname.org,Section B,79.51,75.58,,,,,,,,,,,,
Synthetic Student 151,SYN-EXP-000151,SYN-SIS-000151,synthetic151,knelson29@schoolname.org,Section C,21.84,33.78,,,,,,,,,,,,
Synthetic Student 152,SYN-EXP-000152,SYN-SIS-000152,synthetic152,lortiz28@schoolname.org,Section D,42.17,49.34,,,,,,,,,,,,
Synthetic Student 153,SYN-EXP-000153,SYN-SIS-000153,synthetic153,mprice26@schoolname.org,Section A,43.31,57.98,,,,,,,,,,,,
Synthetic Student 154,SYN-EXP-000154,SYN-SIS-000154,synthetic154,nstone27@schoolname.org,Section B,33.76,41.08,,,,,,,,,,,,
Synthetic Student 155,SYN-EXP-000155,SYN-SIS-000155,synthetic155,pmiller28@schoolname.org,Section C,73.62,72.51,,,,,,,,,,,,
Synthetic Student 156,SYN-EXP-000156,SYN-SIS-000156,synthetic156,qrivera29@schoolname.org,Section D,29.98,40.2,,,,,,,,,,,,
Synthetic Student 157,SYN-EXP-000157,SYN-SIS-000157,synthetic157,rnguyen29@schoolname.org,Section A,66.49,75.79,,,,,,,,,,,,
Synthetic Student 158,SYN-EXP-000158,SYN-SIS-000158,synthetic158,spatel27@schoolname.org,Section B,66.94,70.74,,,,,,,,,,,,
Synthetic Student 159,SYN-EXP-000159,SYN-SIS-000159,synthetic159,tbrooks28@schoolname.org,Section C,33.73,42.88,,,,,,,,,,,,
Synthetic Student 160,SYN-EXP-000160,SYN-SIS-000160,synthetic160,vchen29@schoolname.org,Section D,7.73,28.84,,,,,,,,,,,,
Synthetic Student 161,SYN-EXP-000161,SYN-SIS-000161,synthetic161,aevans27@schoolname.org,Section A,63.2,65.26,,,,,,,,,,,,
Synthetic Student 162,SYN-EXP-000162,SYN-SIS-000162,synthetic162,bflores26@schoolname.org,Section B,64.51,67.34,,,,,,,,,,,,
Synthetic Student 163,SYN-EXP-000163,SYN-SIS-000163,synthetic163,cgarcia26@schoolname.org,Section C,56.11,59.16,,,,,,,,,,,,
Synthetic Student 164,SYN-EXP-000164,SYN-SIS-000164,synthetic164,dhayes28@schoolname.org,Section D,68.82,0,,,,,,,,,,,,
Synthetic Student 165,SYN-EXP-000165,SYN-SIS-000165,synthetic165,eibrahim28@schoolname.org,Section A,30.86,40.63,,,,,,,,,,,,
Synthetic Student 166,SYN-EXP-000166,SYN-SIS-000166,synthetic166,fjohnson29@schoolname.org,Section B,22.6,28.55,,,,,,,,,,,,
Synthetic Student 167,SYN-EXP-000167,SYN-SIS-000167,synthetic167,gkim29@schoolname.org,Section C,54.73,58.57,,,,,,,,,,,,
Synthetic Student 168,SYN-EXP-000168,SYN-SIS-000168,synthetic168,hlewis26@schoolname.org,Section D,72.5,70.33,,,,,,,,,,,,
Synthetic Student 169,SYN-EXP-000169,SYN-SIS-000169,synthetic169,imartinez26@schoolname.org,Section A,32.32,43.67,,,,,,,,,,,,
Synthetic Student 170,SYN-EXP-000170,SYN-SIS-000170,synthetic170,jnelson29@schoolname.org,Section B,40.28,48.31,,,,,,,,,,,,
Synthetic Student 171,SYN-EXP-000171,SYN-SIS-000171,synthetic171,kortiz29@schoolname.org,Section C,38.43,45.09,,,,,,,,,,,,
Synthetic Student 172,SYN-EXP-000172,SYN-SIS-000172,synthetic172,lprice29@schoolname.org,Section D,51.42,0,,,,,,,,,,,,
Synthetic Student 173,SYN-EXP-000173,SYN-SIS-000173,synthetic173,mstone29@schoolname.org,Section A,8.68,27.64,,,,,,,,,,,,
Synthetic Student 174,SYN-EXP-000174,SYN-SIS-000174,synthetic174,nmiller28@schoolname.org,Section B,67.4,63.56,,,,,,,,,,,,
Synthetic Student 175,SYN-EXP-000175,SYN-SIS-000175,synthetic175,privera27@schoolname.org,Section C,32.11,38.38,,,,,,,,,,,,
Synthetic Student 176,SYN-EXP-000176,SYN-SIS-000176,synthetic176,qnguyen28@schoolname.org,Section D,38.56,47.28,,,,,,,,,,,,
Synthetic Student 177,SYN-EXP-000177,SYN-SIS-000177,synthetic177,rpatel29@schoolname.org,Section A,65.46,74.56,,,,,,,,,,,,
Synthetic Student 178,SYN-EXP-000178,SYN-SIS-000178,synthetic178,sbrooks29@schoolname.org,Section B,56.07,0,,,,,,,,,,,,
Synthetic Student 179,SYN-EXP-000179,SYN-SIS-000179,synthetic179,tchen26@schoolname.org,Section C,32.28,39.97,,,,,,,,,,,,
Synthetic Student 180,SYN-EXP-000180,SYN-SIS-000180,synthetic180,vdavis29@schoolname.org,Section D,38.68,44.17,,,,,,,,,,,,
Synthetic Student 181,SYN-EXP-000181,SYN-SIS-000181,synthetic181,aflores28@schoolname.org,Section A,39.24,46.6,,,,,,,,,,,,
Synthetic Student 182,SYN-EXP-000182,SYN-SIS-000182,synthetic182,bgarcia26@schoolname.org,Section B,49.28,0,,,,,,,,,,,,
Synthetic Student 183,SYN-EXP-000183,SYN-SIS-000183,synthetic183,chayes28@schoolname.org,Section C,40.66,47.93,,,,,,,,,,,,
Synthetic Student 184,SYN-EXP-000184,SYN-SIS-000184,synthetic184,dibrahim29@schoolname.org,Section D,33.62,40.5,,,,,,,,,,,,
